ave_dist = 0.393443
KLDist  weight    KLDist*weight   Percent
0.398764  0.022581  0.009004           2.29%
0.438001  0.022581  0.009890           2.51%
0.359478  0.022581  0.008117           2.06%
0.346441  0.022581  0.007823           1.99%
0.427902  0.029032  0.012423           3.16%
0.438633  0.041935  0.018394           4.68%
0.469048  0.045161  0.021183           5.38%
0.429474  0.045161  0.019396           4.93%
0.400634  0.025806  0.010339           2.63%
0.383565  0.038710  0.014848           3.77%
0.334664  0.025806  0.008636           2.20%
0.349166  0.022581  0.007884           2.00%
0.343191  0.041935  0.014392           3.66%
0.353980  0.041935  0.014844           3.77%
0.342968  0.048387  0.016595           4.22%
0.436848  0.045161  0.019729           5.01%
0.411289  0.035484  0.014594           3.71%
0.443040  0.025806  0.011433           2.91%
0.354521  0.038710  0.013723           3.49%
0.364166  0.022581  0.008223           2.09%
0.445190  0.032258  0.014361           3.65%
0.434398  0.029032  0.012612           3.21%
0.436707  0.029032  0.012679           3.22%
0.425146  0.038710  0.016457           4.18%
0.297284  0.035484  0.010549           2.68%
0.363628  0.029032  0.010557           2.68%
0.419544  0.032258  0.013534           3.44%
0.378071  0.025806  0.009757           2.48%
0.354168  0.035484  0.012567           3.19%
0.406387  0.025806  0.010487           2.67%
0.372523  0.022581  0.008412           2.14%
