ave_dist = 0.024656
BDist  weight    BDist*weight   Percent
0.017834  0.094801  0.001691           6.86%
0.006361  0.105505  0.000671           2.72%
0.014132  0.053517  0.000756           3.07%
0.008554  0.067278  0.000576           2.33%
0.011296  0.067278  0.000760           3.08%
0.021515  0.047401  0.001020           4.14%
0.036927  0.047401  0.001750           7.10%
0.017182  0.050459  0.000867           3.52%
0.015513  0.041284  0.000640           2.60%
0.034131  0.029052  0.000992           4.02%
0.018690  0.032110  0.000600           2.43%
0.033534  0.022936  0.000769           3.12%
0.040987  0.025994  0.001065           4.32%
0.036426  0.021407  0.000780           3.16%
0.051860  0.015291  0.000793           3.22%
0.026220  0.022936  0.000601           2.44%
0.036742  0.027523  0.001011           4.10%
0.024754  0.022936  0.000568           2.30%
0.059156  0.018349  0.001085           4.40%
0.032566  0.018349  0.000598           2.42%
0.036753  0.030581  0.001124           4.56%
0.022839  0.027523  0.000629           2.55%
0.049657  0.019878  0.000987           4.00%
0.035821  0.022936  0.000822           3.33%
0.034578  0.019878  0.000687           2.79%
0.056806  0.012232  0.000695           2.82%
0.057180  0.012232  0.000699           2.84%
0.071793  0.012232  0.000878           3.56%
0.050572  0.010703  0.000541           2.20%
