ave_dist = 0.030650
WassDist  weight    WassDist*weight   Percent
0.033470  0.089985  0.003012           9.83%
0.016970  0.101597  0.001724           5.63%
0.017332  0.055152  0.000956           3.12%
0.015859  0.066763  0.001059           3.45%
0.024083  0.069666  0.001678           5.47%
0.023337  0.047896  0.001118           3.65%
0.020441  0.046444  0.000949           3.10%
0.019019  0.050798  0.000966           3.15%
0.018420  0.042090  0.000775           2.53%
0.037079  0.030479  0.001130           3.69%
0.043359  0.034833  0.001510           4.93%
0.027637  0.023222  0.000642           2.09%
0.022910  0.024673  0.000565           1.84%
0.035709  0.020319  0.000726           2.37%
0.033403  0.014514  0.000485           1.58%
0.082848  0.023222  0.001924           6.28%
0.023858  0.026125  0.000623           2.03%
0.034433  0.023222  0.000800           2.61%
0.063804  0.017417  0.001111           3.63%
0.040827  0.018868  0.000770           2.51%
0.096256  0.030479  0.002934           9.57%
0.022544  0.026125  0.000589           1.92%
0.044640  0.018868  0.000842           2.75%
0.040256  0.011611  0.000467           1.52%
0.026791  0.021771  0.000583           1.90%
0.026117  0.018868  0.000493           1.61%
0.054115  0.011611  0.000628           2.05%
0.043298  0.011611  0.000503           1.64%
0.048666  0.011611  0.000565           1.84%
0.051436  0.010160  0.000523           1.70%
