ave_dist = 0.017518
WassDist  weight    WassDist*weight   Percent
0.023965  0.059467  0.001425           8.14%
0.034535  0.014429  0.000498           2.84%
0.012883  0.042851  0.000552           3.15%
0.041299  0.034543  0.001427           8.14%
0.020984  0.052908  0.001110           6.34%
0.007583  0.172278  0.001306           7.46%
0.014085  0.079580  0.001121           6.40%
0.017898  0.043725  0.000783           4.47%
0.013807  0.031482  0.000435           2.48%
0.024903  0.025798  0.000642           3.67%
0.009169  0.104504  0.000958           5.47%
0.021707  0.055094  0.001196           6.83%
0.024177  0.034980  0.000846           4.83%
0.013108  0.033231  0.000436           2.49%
0.020376  0.010494  0.000214           1.22%
0.015075  0.078706  0.001186           6.77%
0.032106  0.024049  0.000772           4.41%
0.024552  0.022737  0.000558           3.19%
0.030115  0.017053  0.000514           2.93%
0.040620  0.005684  0.000231           1.32%
0.023199  0.056406  0.001309           7.47%
