ave_dist = 0.007660
BDist  weight    BDist*weight   Percent
0.015563  0.054795  0.000853          11.13%
0.003594  0.068493  0.000246           3.21%
0.004854  0.089041  0.000432           5.64%
0.006216  0.047945  0.000298           3.89%
0.007102  0.061644  0.000438           5.72%
0.001811  0.061644  0.000112           1.46%
0.006681  0.047945  0.000320           4.18%
0.012238  0.054795  0.000671           8.75%
0.002513  0.075342  0.000189           2.47%
0.001284  0.095890  0.000123           1.61%
0.017808  0.075342  0.001342          17.52%
0.017442  0.047945  0.000836          10.92%
0.005197  0.047945  0.000249           3.25%
0.010128  0.047945  0.000486           6.34%
0.009563  0.054795  0.000524           6.84%
0.007904  0.068493  0.000541           7.07%
