ave_dist = 0.641777
KLDist  weight    KLDist*weight   Percent
0.577447  0.054795  0.031641           4.93%
1.000351  0.068493  0.068517          10.68%
1.087150  0.089041  0.096801          15.08%
0.913305  0.047945  0.043789           6.82%
0.980334  0.061644  0.060432           9.42%
0.534069  0.061644  0.032922           5.13%
0.628439  0.047945  0.030131           4.69%
0.473837  0.054795  0.025964           4.05%
0.595689  0.075342  0.044881           6.99%
0.352087  0.095890  0.033762           5.26%
0.443375  0.075342  0.033405           5.21%
0.547546  0.047945  0.026252           4.09%
0.549799  0.047945  0.026360           4.11%
0.510381  0.047945  0.024470           3.81%
0.447042  0.054795  0.024495           3.82%
0.554157  0.068493  0.037956           5.91%
