ave_dist = 0.355461
KLDist  weight    KLDist*weight   Percent
0.751923  0.001703  0.001280           0.36%
0.710943  0.001946  0.001383           0.39%
0.843047  0.002676  0.002256           0.63%
0.817284  0.001946  0.001590           0.45%
0.774619  0.002676  0.002073           0.58%
0.947106  0.002432  0.002304           0.65%
0.710943  0.001946  0.001383           0.39%
0.831626  0.002432  0.002023           0.57%
0.850591  0.003649  0.003104           0.87%
0.962218  0.004135  0.003979           1.12%
0.997123  0.004378  0.004366           1.23%
0.858747  0.004378  0.003760           1.06%
1.062986  0.004378  0.004654           1.31%
0.689986  0.003649  0.002518           0.71%
0.620359  0.004622  0.002867           0.81%
0.878501  0.005108  0.004488           1.26%
1.142017  0.004135  0.004723           1.33%
1.023513  0.004622  0.004730           1.33%
1.054769  0.003162  0.003335           0.94%
0.950323  0.007054  0.006704           1.89%
0.548387  0.006081  0.003335           0.94%
0.766943  0.006568  0.005037           1.42%
0.582919  0.009000  0.005246           1.48%
0.960710  0.009000  0.008647           2.43%
0.732450  0.008757  0.006414           1.80%
1.210757  0.010216  0.012370           3.48%
0.794272  0.005595  0.004444           1.25%
0.761460  0.009487  0.007224           2.03%
0.350672  0.004378  0.001535           0.43%
0.902284  0.011676  0.010535           2.96%
0.200900  0.008270  0.001662           0.47%
1.007035  0.009487  0.009553           2.69%
0.638886  0.007054  0.004507           1.27%
0.503472  0.007054  0.003552           1.00%
0.423224  0.015325  0.006486           1.82%
0.700730  0.008514  0.005966           1.68%
0.416245  0.010703  0.004455           1.25%
0.457652  0.011919  0.005455           1.53%
0.600716  0.010946  0.006576           1.85%
0.133429  0.019460  0.002597           0.73%
0.353754  0.017271  0.006110           1.72%
0.107162  0.012649  0.001355           0.38%
0.156680  0.012892  0.002020           0.57%
0.297449  0.013135  0.003907           1.10%
0.139334  0.019946  0.002779           0.78%
0.119893  0.018487  0.002216           0.62%
0.139991  0.015568  0.002179           0.61%
0.085241  0.015325  0.001306           0.37%
0.165607  0.012649  0.002095           0.59%
0.081156  0.027001  0.002191           0.62%
0.068036  0.016784  0.001142           0.32%
0.065423  0.015811  0.001034           0.29%
0.026429  0.014838  0.000392           0.11%
0.097151  0.019946  0.001938           0.55%
0.044396  0.019703  0.000875           0.25%
0.063866  0.017514  0.001119           0.31%
0.075141  0.018730  0.001407           0.40%
0.071110  0.021163  0.001505           0.42%
0.031026  0.014108  0.000438           0.12%
0.082357  0.033812  0.002785           0.78%
0.203269  0.021892  0.004450           1.25%
0.070034  0.021649  0.001516           0.43%
0.131656  0.019703  0.002594           0.73%
1.072786  0.024325  0.026096           7.34%
0.143672  0.029190  0.004194           1.18%
0.234260  0.022136  0.005186           1.46%
0.128667  0.020190  0.002598           0.73%
0.174622  0.019217  0.003356           0.94%
0.396556  0.017027  0.006752           1.90%
0.322530  0.026757  0.008630           2.43%
0.300438  0.016541  0.004970           1.40%
0.820296  0.017757  0.014566           4.10%
0.839923  0.016541  0.013893           3.91%
0.348514  0.012649  0.004408           1.24%
0.297571  0.019703  0.005863           1.65%
0.292577  0.009487  0.002776           0.78%
0.390593  0.007541  0.002945           0.83%
0.400093  0.008027  0.003212           0.90%
0.379371  0.006811  0.002584           0.73%
0.315354  0.011676  0.003682           1.04%
0.344805  0.003649  0.001258           0.35%
0.370233  0.005108  0.001891           0.53%
0.384409  0.007054  0.002712           0.76%
0.363455  0.004865  0.001768           0.50%
0.362932  0.005595  0.002031           0.57%
0.525020  0.002676  0.001405           0.40%
0.506956  0.002432  0.001233           0.35%
0.506491  0.001946  0.000986           0.28%
