ave_dist = 0.069439
WassDist  weight    WassDist*weight   Percent
0.089273  0.001703  0.000152           0.22%
0.118901  0.001946  0.000231           0.33%
0.111798  0.002676  0.000299           0.43%
0.111798  0.001946  0.000218           0.31%
0.118901  0.002676  0.000318           0.46%
0.111798  0.002432  0.000272           0.39%
0.118901  0.001946  0.000231           0.33%
0.111798  0.002432  0.000272           0.39%
0.098464  0.003649  0.000359           0.52%
0.106191  0.004135  0.000439           0.63%
0.111798  0.004378  0.000490           0.70%
0.100687  0.004378  0.000441           0.63%
0.111798  0.004378  0.000490           0.70%
0.098464  0.003649  0.000359           0.52%
0.118575  0.004622  0.000548           0.79%
0.102274  0.005108  0.000522           0.75%
0.111798  0.004135  0.000462           0.67%
0.118575  0.004622  0.000548           0.79%
0.111798  0.003162  0.000354           0.51%
0.104901  0.007054  0.000740           1.07%
0.073273  0.006081  0.000446           0.64%
0.089575  0.006568  0.000588           0.85%
0.077893  0.009000  0.000701           1.01%
0.100987  0.009000  0.000909           1.31%
0.089575  0.008757  0.000784           1.13%
0.107036  0.010216  0.001094           1.57%
0.110795  0.005595  0.000620           0.89%
0.086157  0.009487  0.000817           1.18%
0.057172  0.004378  0.000250           0.36%
0.090964  0.011676  0.001062           1.53%
0.065015  0.008270  0.000538           0.77%
0.101541  0.009487  0.000963           1.39%
0.120390  0.007054  0.000849           1.22%
0.120390  0.007054  0.000849           1.22%
0.115902  0.015325  0.001776           2.56%
0.083226  0.008514  0.000709           1.02%
0.092020  0.010703  0.000985           1.42%
0.113634  0.011919  0.001354           1.95%
0.112727  0.010946  0.001234           1.78%
0.061338  0.019460  0.001194           1.72%
0.085810  0.017271  0.001482           2.13%
0.035377  0.012649  0.000447           0.64%
0.065348  0.012892  0.000842           1.21%
0.055939  0.013135  0.000735           1.06%
0.057985  0.019946  0.001157           1.67%
0.052786  0.018487  0.000976           1.41%
0.042398  0.015568  0.000660           0.95%
0.032130  0.015325  0.000492           0.71%
0.043119  0.012649  0.000545           0.79%
0.029813  0.027001  0.000805           1.16%
0.028403  0.016784  0.000477           0.69%
0.039719  0.015811  0.000628           0.90%
0.013863  0.014838  0.000206           0.30%
0.035614  0.019946  0.000710           1.02%
0.028777  0.019703  0.000567           0.82%
0.046061  0.017514  0.000807           1.16%
0.033685  0.018730  0.000631           0.91%
0.046404  0.021163  0.000982           1.41%
0.016942  0.014108  0.000239           0.34%
0.047644  0.033812  0.001611           2.32%
0.077668  0.021892  0.001700           2.45%
0.045009  0.021649  0.000974           1.40%
0.055940  0.019703  0.001102           1.59%
0.120768  0.024325  0.002938           4.23%
0.057668  0.029190  0.001683           2.42%
0.076642  0.022136  0.001697           2.44%
0.049395  0.020190  0.000997           1.44%
0.072942  0.019217  0.001402           2.02%
0.084335  0.017027  0.001436           2.07%
0.057062  0.026757  0.001527           2.20%
0.075511  0.016541  0.001249           1.80%
0.111510  0.017757  0.001980           2.85%
0.111003  0.016541  0.001836           2.64%
0.084335  0.012649  0.001067           1.54%
0.083100  0.019703  0.001637           2.36%
0.076642  0.009487  0.000727           1.05%
0.068206  0.007541  0.000514           0.74%
0.075244  0.008027  0.000604           0.87%
0.070049  0.006811  0.000477           0.69%
0.071835  0.011676  0.000839           1.21%
0.077668  0.003649  0.000283           0.41%
0.052234  0.005108  0.000267           0.38%
0.073990  0.007054  0.000522           0.75%
0.084335  0.004865  0.000410           0.59%
0.062596  0.005595  0.000350           0.50%
0.114748  0.002676  0.000307           0.44%
0.103838  0.002432  0.000253           0.36%
0.098838  0.001946  0.000192           0.28%
