ave_dist = 0.070039
WassDist  weight    WassDist*weight   Percent
0.118175  0.000960  0.000113           0.16%
0.110684  0.000960  0.000106           0.15%
0.118175  0.001200  0.000142           0.20%
0.090372  0.001681  0.000152           0.22%
0.118175  0.001921  0.000227           0.32%
0.110684  0.001200  0.000133           0.19%
0.090532  0.000720  0.000065           0.09%
0.110684  0.001200  0.000133           0.19%
0.110684  0.002641  0.000292           0.42%
0.110684  0.000960  0.000106           0.15%
0.110684  0.000960  0.000106           0.15%
0.118175  0.000960  0.000113           0.16%
0.110684  0.001921  0.000213           0.30%
0.118175  0.002641  0.000312           0.45%
0.110684  0.002401  0.000266           0.38%
0.118175  0.001921  0.000227           0.32%
0.110684  0.002401  0.000266           0.38%
0.097351  0.003601  0.000351           0.50%
0.106218  0.004082  0.000434           0.62%
0.110684  0.004322  0.000478           0.68%
0.099573  0.004322  0.000430           0.61%
0.110684  0.004322  0.000478           0.68%
0.097351  0.003601  0.000351           0.50%
0.118602  0.004562  0.000541           0.77%
0.101160  0.005042  0.000510           0.73%
0.110684  0.004082  0.000452           0.65%
0.118602  0.004562  0.000541           0.77%
0.110684  0.003121  0.000345           0.49%
0.103788  0.006963  0.000723           1.03%
0.074372  0.006002  0.000446           0.64%
0.088462  0.006483  0.000573           0.82%
0.077920  0.008884  0.000692           0.99%
0.099873  0.008884  0.000887           1.27%
0.088462  0.008643  0.000765           1.09%
0.105922  0.010084  0.001068           1.53%
0.110822  0.005522  0.000612           0.87%
0.085043  0.009364  0.000796           1.14%
0.057199  0.004322  0.000247           0.35%
0.089851  0.011525  0.001035           1.48%
0.065042  0.008163  0.000531           0.76%
0.100428  0.009364  0.000940           1.34%
0.120417  0.006963  0.000838           1.20%
0.120417  0.006963  0.000838           1.20%
0.115929  0.015126  0.001754           2.50%
0.082113  0.008403  0.000690           0.99%
0.092047  0.010564  0.000972           1.39%
0.113661  0.011765  0.001337           1.91%
0.112754  0.010804  0.001218           1.74%
0.061366  0.019208  0.001179           1.68%
0.085837  0.017047  0.001463           2.09%
0.035404  0.012485  0.000442           0.63%
0.065375  0.012725  0.000832           1.19%
0.057039  0.012965  0.000740           1.06%
0.058012  0.019688  0.001142           1.63%
0.052813  0.018247  0.000964           1.38%
0.043497  0.015366  0.000668           0.95%
0.033229  0.015126  0.000503           0.72%
0.044218  0.012485  0.000552           0.79%
0.030913  0.026651  0.000824           1.18%
0.029503  0.016567  0.000489           0.70%
0.040066  0.015606  0.000625           0.89%
0.014962  0.014646  0.000219           0.31%
0.036714  0.019688  0.000723           1.03%
0.028804  0.019448  0.000560           0.80%
0.046088  0.017287  0.000797           1.14%
0.034033  0.018487  0.000629           0.90%
0.046751  0.020888  0.000977           1.39%
0.016969  0.013926  0.000236           0.34%
0.047991  0.033373  0.001602           2.29%
0.078015  0.021609  0.001686           2.41%
0.045356  0.021369  0.000969           1.38%
0.056287  0.019448  0.001095           1.56%
0.120809  0.024010  0.002901           4.14%
0.058015  0.028812  0.001672           2.39%
0.076990  0.021849  0.001682           2.40%
0.049742  0.019928  0.000991           1.42%
0.073289  0.018968  0.001390           1.98%
0.084682  0.016807  0.001423           2.03%
0.057409  0.026411  0.001516           2.16%
0.075858  0.016327  0.001239           1.77%
0.111537  0.017527  0.001955           2.79%
0.111044  0.016327  0.001813           2.59%
0.084682  0.012485  0.001057           1.51%
0.083447  0.019448  0.001623           2.32%
0.076990  0.009364  0.000721           1.03%
0.068553  0.007443  0.000510           0.73%
0.075591  0.007923  0.000599           0.86%
0.070396  0.006723  0.000473           0.68%
0.072182  0.011525  0.000832           1.19%
0.078015  0.003601  0.000281           0.40%
0.051509  0.005042  0.000260           0.37%
0.074337  0.006963  0.000518           0.74%
0.084682  0.004802  0.000407           0.58%
0.062943  0.005522  0.000348           0.50%
0.114775  0.002641  0.000303           0.43%
0.103866  0.002401  0.000249           0.36%
0.090532  0.001441  0.000130           0.19%
0.073866  0.000960  0.000071           0.10%
0.098866  0.001921  0.000190           0.27%
0.118175  0.000720  0.000085           0.12%
0.051509  0.000720  0.000037           0.05%
