ave_dist = 0.024619
BDist  weight    BDist*weight   Percent
0.051140  0.003142  0.000161           0.65%
0.339691  0.002658  0.000903           3.67%
0.163529  0.004350  0.000711           2.89%
0.381744  0.006042  0.002306           9.37%
0.394872  0.006283  0.002481          10.08%
0.110176  0.009425  0.001038           4.22%
0.279970  0.011358  0.003180          12.92%
0.086191  0.014741  0.001271           5.16%
0.059744  0.018366  0.001097           4.46%
0.098273  0.017883  0.001757           7.14%
0.042719  0.029966  0.001280           5.20%
0.067081  0.021991  0.001475           5.99%
0.047998  0.035041  0.001682           6.83%
0.005878  0.027550  0.000162           0.66%
0.019876  0.032624  0.000648           2.63%
0.000329  0.032141  0.000011           0.04%
0.000458  0.040841  0.000019           0.08%
0.000043  0.048816  0.000002           0.01%
0.000041  0.040841  0.000002           0.01%
0.000028  0.045674  0.000001           0.01%
0.000001  0.053166  0.000000           0.00%
0.000001  0.043983  0.000000           0.00%
0.001487  0.064524  0.000096           0.39%
0.004442  0.052441  0.000233           0.95%
0.006489  0.049541  0.000321           1.31%
0.009198  0.046641  0.000429           1.74%
0.005828  0.038666  0.000225           0.92%
0.014809  0.050991  0.000755           3.07%
0.005837  0.031658  0.000185           0.75%
0.015346  0.024891  0.000382           1.55%
0.016412  0.024891  0.000409           1.66%
0.015310  0.018850  0.000289           1.17%
0.018985  0.016433  0.000312           1.27%
0.023444  0.010875  0.000255           1.04%
0.024481  0.005558  0.000136           0.55%
0.016055  0.007492  0.000120           0.49%
0.012584  0.004108  0.000052           0.21%
0.031572  0.003142  0.000099           0.40%
0.054964  0.002417  0.000133           0.54%
